airport_name;icao
London Gatwick Airport;EGKK
London Heathrow Airport;EGLL
London Luton Airport;EGGW
London Stansted Airport;EGSS
Paris Charles de Gaulle;LFPG
Paris Orly;LFPO
Paris Beauvais;LFOB
Amsterdam Airport Schiphol;EHAM
İstanbul Airport ;LTFM
Istanbul Sabiha Gökçen International Airport;LTFJ
Frankfurt am Main Airport ;EDDF
Adolfo Suárez Madrid–Barajas Airport ;LEMD
Josep Tarradellas Barcelona-El Prat Airport ;LEBL
Barcelona Reus Airport ;LERS
Barcelona Girona-Costa Brava Airport ;LEGE
Palma de Mallorca Airport ;LEPA
Ciampino–G. B. Pastine International Airport ;LIRA
Rome–Fiumicino Leonardo da Vinci International Airport;LIRF
Berlin Brandenburg Airport ;EDDB
Malpensa International Airport ;LIMC
Milan Bergamo Airport;LIME
Milano Linate Airport;LIML
Copenhagen Kastrup Airport ;EKCH
Munich Airport;EDDM
Düsseldorf Airport ;EDDL
Zürich Airport ;LSZH
Brussels Airport ;EBBR
Brussels South Charleroi Airport;EBCI
Stockholm-Arlanda Airport ;ESSA
Athens Eleftherios Venizelos International Airport;LGAV
Dublin Airport ;EIDW
Manchester Airport ;EGCC
Vienna International Airport;LOWW